Plugin ID,CVE,CVSS v2.0 Base Score,CVSS v3.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Solution,VPR Score,EPSS Score,Metasploit,Core Impact,CANVAS
19506,,,,None,10.0.1.11,tcp,0,Nessus Scan Information,Information about the Nessus scan.,n/a,,,FALSE,FALSE,FALSE
35291,CVE-2011-3389,4.3,,Medium,10.0.1.11,tcp,443,SSL/TLS BEAST Vulnerability,CBC plaintext recovery in TLS 1.0.,Configure the server to prefer TLS 1.2 or later.,4.0,0.090,FALSE,FALSE,FALSE
71049,,,,Low,10.0.1.11,tcp,22,SSH Weak MAC Algorithms Enabled,Weak SSH MACs allowed.,Disable MD5 and 96-bit MAC algorithms.,2.6,0.006,FALSE,FALSE,FALSE
51192,,,,Medium,10.0.1.11,tcp,443,SSL Certificate Cannot Be Trusted,Certificate chain could not be verified.,Install a certificate from a trusted CA.,4.2,0.030,FALSE,FALSE,FALSE
151054,CVE-2021-34527,8.3,8.8,High,10.0.1.11,tcp,445,Windows Print Spooler RCE (PrintNightmare),RCE via Print Spooler.,Apply the July 2021 Microsoft updates; disable Print Spooler where unneeded.,8.7,0.800,FALSE,FALSE,FALSE
96982,,,,Medium,10.0.1.11,tcp,445,SMBv1 Protocol Enabled,Legacy SMBv1 enabled.,Disable SMBv1 on the host.,5.1,0.050,FALSE,FALSE,FALSE
19506,,,,None,10.0.1.12,tcp,0,Nessus Scan Information,Information about the Nessus scan.,n/a,,,FALSE,FALSE,FALSE
35291,CVE-2011-3389,4.3,,Medium,10.0.1.12,tcp,443,SSL/TLS BEAST Vulnerability,CBC plaintext recovery in TLS 1.0.,Configure the server to prefer TLS 1.2 or later.,4.0,0.090,FALSE,FALSE,FALSE
104743,CVE-2017-0144,9.3,8.1,Critical,10.0.1.12,tcp,445,MS17-010 EternalBlue SMB Remote Code Execution,RCE via crafted SMBv1 packets.,Apply the MS17-010 security update.,9.6,0.940,FALSE,FALSE,TRUE
73412,CVE-2014-0160,5.0,,High,10.0.1.12,tcp,443,OpenSSL Heartbeat Information Disclosure (Heartbleed),Memory disclosure via TLS heartbeat.,Upgrade OpenSSL to 1.0.1g or later and rotate keys.,8.5,0.970,FALSE,FALSE,FALSE
134862,CVE-2020-0796,9.4,10.0,Critical,10.0.1.12,tcp,445,SMBv3 Compression RCE (SMBGhost),RCE via SMBv3.1.1 compression.,Apply the Microsoft update for CVE-2020-0796.,8.9,0.850,TRUE,TRUE,FALSE
153953,CVE-2021-44228,9.3,10.0,Critical,10.0.1.12,tcp,8080,Apache Log4j Remote Code Execution (Log4Shell),Remote code execution via JNDI lookup.,Upgrade Log4j to 2.17.1 or later.,9.8,0.975,TRUE,FALSE,TRUE
25220,CVE-2004-2761,2.6,,Low,10.0.1.12,tcp,443,SSL Certificate Signed Using Weak Hashing (MD5/SHA-1),Weak signature algorithm.,Reissue the certificate using SHA-256 or stronger.,2.3,0.006,FALSE,FALSE,FALSE
94437,CVE-2016-2183,7.1,7.5,High,10.0.1.12,tcp,443,SSL/TLS Birthday Attack on 64-bit Block Ciphers (SWEET32),3DES/Blowfish birthday attack.,Disable 3DES and other 64-bit block ciphers.,5.9,0.310,TRUE,FALSE,TRUE
97833,CVE-2019-0708,10.0,9.8,Critical,10.0.1.12,tcp,3389,MS RDP Remote Code Execution (BlueKeep),Pre-auth RCE in Remote Desktop Services.,Apply the Microsoft update for CVE-2019-0708.,9.9,0.960,TRUE,FALSE,FALSE
19506,,,,None,10.0.1.13,tcp,0,Nessus Scan Information,Information about the Nessus scan.,n/a,,,FALSE,FALSE,FALSE
141843,CVE-2020-1472,9.4,10.0,Critical,10.0.1.13,tcp,445,Netlogon Elevation of Privilege (Zerologon),Privilege escalation via Netlogon.,Apply the August 2020 Microsoft updates and enforce secure RPC.,9.4,0.880,TRUE,FALSE,TRUE
134862,CVE-2020-0796,9.4,10.0,Critical,10.0.1.13,tcp,445,SMBv3 Compression RCE (SMBGhost),RCE via SMBv3.1.1 compression.,Apply the Microsoft update for CVE-2020-0796.,8.9,0.850,TRUE,TRUE,FALSE
